block_size,passes,eve_intercept_prob,channel_noise_prob,trials_per_setting,qubits_per_trial,success_rate,average_qber,average_raw_key_length,average_raw_mismatches,average_final_mismatches,average_corrections_applied,average_parity_checks
8,1,0.05,0.02,20,8000,0.0,0.031656338138485375,3988.5,126.25,22.5,103.75,810.1
8,3,0.05,0.02,20,8000,1.0,0.03119359156729083,3991.25,124.5,0.0,124.5,1871.1
8,5,0.05,0.02,20,8000,1.0,0.031733561573586935,3991.5,126.7,0.0,126.7,2876.8
8,7,0.05,0.02,20,8000,1.0,0.033075974087219476,3985.45,131.85,0.0,131.85,3884.95
8,10,0.05,0.02,20,8000,1.0,0.031979320307619095,3996.75,127.8,0.0,127.8,5384.2
16,1,0.05,0.02,20,8000,0.0,0.03244144969355322,3985.9,129.3,47.4,81.9,576.8
16,3,0.05,0.02,20,8000,0.8,0.032439569539032605,4005.7,129.9,0.4,129.5,1270.4
16,5,0.05,0.02,20,8000,1.0,0.03207078456682756,4011.75,128.7,0.0,128.7,1770.65
16,7,0.05,0.02,20,8000,1.0,0.032512590020825946,4011.8,130.45,0.0,130.45,2280.3
16,10,0.05,0.02,20,8000,1.0,0.03240098274391546,4004.65,129.75,0.0,129.75,3026.35
32,1,0.05,0.02,20,8000,0.0,0.03268780859175132,4023.65,131.5,77.2,54.3,397.6
32,3,0.05,0.02,20,8000,0.1,0.03171693919298269,3994.0,126.7,5.3,121.4,982.4
32,5,0.05,0.02,20,8000,1.0,0.03240772722484901,4010.9,130.0,0.0,130.0,1278.4
32,7,0.05,0.02,20,8000,1.0,0.032082582390736754,4004.7,128.45,0.0,128.45,1521.05
32,10,0.05,0.02,20,8000,1.0,0.03189503943838089,4002.15,127.65,0.0,127.65,1893.8
64,1,0.05,0.02,20,8000,0.0,0.03162298134572313,4009.4,126.8,95.7,31.1,249.4
64,3,0.05,0.02,20,8000,0.0,0.03175307634070421,4002.45,127.1,39.7,87.4,712.95
64,5,0.05,0.02,20,8000,0.15,0.03175358074482318,3998.0,126.95,5.3,121.65,1043.9
64,7,0.05,0.02,20,8000,1.0,0.031836431623008005,4014.4,127.8,0.0,127.8,1208.5
64,10,0.05,0.02,20,8000,1.0,0.03240217165830692,3988.55,129.2,0.0,129.2,1401.55
