message_length_chars,message_bits_required,privacy_compression_ratio,eve_intercept_prob,channel_noise_prob,qber_threshold,trials_per_setting,qubits_per_trial,success_rate,average_qber,average_reconciled_key_length,average_final_key_capacity,insufficient_key_failures,mismatch_failures,qber_failures
16,128,0.25,0.03,0.01,0.11,10,10000,1.0,0.017092822462841998,4984.9,1245.8,0,0,0
16,128,0.4,0.03,0.01,0.11,10,10000,1.0,0.01734383732644672,4996.1,1998.2,0,0,0
16,128,0.5,0.03,0.01,0.11,10,10000,1.0,0.016189799480447367,5002.6,2501.0,0,0,0
16,128,0.75,0.03,0.01,0.11,10,10000,1.0,0.016108803390943845,5008.2,3755.8,0,0,0
16,128,0.9,0.03,0.01,0.11,10,10000,1.0,0.017002834437761134,5004.8,4504.0,0,0,0
64,512,0.25,0.03,0.01,0.11,10,10000,1.0,0.01794972524127522,5008.3,1251.8,0,0,0
64,512,0.4,0.03,0.01,0.11,10,10000,1.0,0.017827034803918878,4991.6,1996.2,0,0,0
64,512,0.5,0.03,0.01,0.11,10,10000,1.0,0.01687834857249703,5016.4,2507.9,0,0,0
64,512,0.75,0.03,0.01,0.11,10,10000,1.0,0.01699663385191641,4982.0,3736.0,0,0,0
64,512,0.9,0.03,0.01,0.11,10,10000,1.0,0.017330043772212613,5018.5,4516.4,0,0,0
128,1024,0.25,0.03,0.01,0.11,10,10000,1.0,0.018059289735956295,4991.1,1247.5,0,0,0
128,1024,0.4,0.03,0.01,0.11,10,10000,1.0,0.017050672372087183,4990.9,1995.8,0,0,0
128,1024,0.5,0.03,0.01,0.11,10,10000,1.0,0.016842330555197613,4987.8,2493.6,0,0,0
128,1024,0.75,0.03,0.01,0.11,10,10000,1.0,0.01787677461421047,5003.5,3752.3,0,0,0
128,1024,0.9,0.03,0.01,0.11,10,10000,1.0,0.016996991073454572,5012.4,4510.7,0,0,0
256,2048,0.25,0.03,0.01,0.11,10,10000,0.0,0.0174972262941848,5001.2,1250.0,10,0,0
256,2048,0.4,0.03,0.01,0.11,10,10000,0.0,0.017529333649427048,4986.1,1994.1,10,0,0
256,2048,0.5,0.03,0.01,0.11,10,10000,1.0,0.01698617074361803,5015.1,2507.3,0,0,0
256,2048,0.75,0.03,0.01,0.11,10,10000,1.0,0.01696482974340599,4999.0,3748.8,0,0,0
256,2048,0.9,0.03,0.01,0.11,10,10000,1.0,0.017465559278153082,4980.7,4482.1,0,0,0
