eve_interception_rate,average_qber,std_qber,expected_qber,trials_per_rate,qubits_per_trial
0.0,0.0,0.0,0.0,20,5000
0.1,0.026025960883083628,0.00400541534191287,0.025,20,5000
0.2,0.050895570087922296,0.004040806219359448,0.05,20,5000
0.30000000000000004,0.07520485925535117,0.003598878470217562,0.07500000000000001,20,5000
0.4,0.10292628185507258,0.004707894637437558,0.1,20,5000
0.5,0.124191737876997,0.007020711939304166,0.125,20,5000
0.6000000000000001,0.15053341537847187,0.007412371338889183,0.15000000000000002,20,5000
0.7000000000000001,0.1715947683851267,0.00858097720203711,0.17500000000000002,20,5000
0.8,0.20002290959013685,0.0074507135373222235,0.2,20,5000
0.9,0.2238475026501497,0.00821327701421305,0.225,20,5000
1.0,0.24776368172450067,0.010998968356149814,0.25,20,5000
